Regio's,Onderwerp,2012,2016,2020,2024
Lopik,Gemiddelde verkoopprijs,265807,247645,340678,482627
Loppersum,Gemiddelde verkoopprijs,171097,194173,215487,
Losser,Gemiddelde verkoopprijs,202447,219042,263808,387725
Luyksgestel,Gemiddelde verkoopprijs,,,,
Maarheeze,Gemiddelde verkoopprijs,,,,
Maarn,Gemiddelde verkoopprijs,,,,
Maarssen,Gemiddelde verkoopprijs,,,,
Maartensdijk,Gemiddelde verkoopprijs,,,,
Maasbracht,Gemiddelde verkoopprijs,,,,
Maasbree,Gemiddelde verkoopprijs,,,,
Maasdonk,Gemiddelde verkoopprijs,284905,,,
Maasdriel,Gemiddelde verkoopprijs,246589,270082,344312,468035
Maasgouw,Gemiddelde verkoopprijs,203048,208484,268396,394358
Maashorst,Gemiddelde verkoopprijs,,,,466384
Maasland,Gemiddelde verkoopprijs,,,,
Maassluis,Gemiddelde verkoopprijs,204003,207172,295038,392381
Maastricht,Gemiddelde verkoopprijs,214174,223194,316733,394938
Made,Gemiddelde verkoopprijs,,,,
Made en Drimmelen,Gemiddelde verkoopprijs,,,,
Margraten,Gemiddelde verkoopprijs,,,,
Mariekerke,Gemiddelde verkoopprijs,,,,
Markelo,Gemiddelde verkoopprijs,,,,
De Marne,Gemiddelde verkoopprijs,137535,137381,,
Marum,Gemiddelde verkoopprijs,185055,221970,,
Maurik,Gemiddelde verkoopprijs,,,,
Medemblik,Gemiddelde verkoopprijs,217891,223321,306267,429347
Meerlo-Wanssum,Gemiddelde verkoopprijs,,,,
Meerssen,Gemiddelde verkoopprijs,220235,243709,313281,392004
Meierijstad,Gemiddelde verkoopprijs,,,349750,496875
Meijel,Gemiddelde verkoopprijs,,,,
Menaldumadeel,Gemiddelde verkoopprijs,,,,
Menameradiel,Gemiddelde verkoopprijs,177166,187295,,
Menterwolde,Gemiddelde verkoopprijs,156691,174720,,
Meppel,Gemiddelde verkoopprijs,205517,212006,259458,378806
Middelburg (Z.),Gemiddelde verkoopprijs,202625,213342,271151,376819
Middelharnis,Gemiddelde verkoopprijs,239276,,,
Midden-Delfland,Gemiddelde verkoopprijs,269855,292406,413768,582103
Midden-Drenthe,Gemiddelde verkoopprijs,211806,225661,300377,385893
Midden-Groningen,Gemiddelde verkoopprijs,,,228605,325791
Middenschouwen,Gemiddelde verkoopprijs,,,,
Middenveld,Gemiddelde verkoopprijs,,,,
Mierlo,Gemiddelde verkoopprijs,,,,
Mill en Sint Hubert,Gemiddelde verkoopprijs,241896,231952,332698,
Millingen aan de Rijn,Gemiddelde verkoopprijs,176000,,,
Moerdijk,Gemiddelde verkoopprijs,203837,232749,286000,385071
Moergestel,Gemiddelde verkoopprijs,,,,
Molenlanden,Gemiddelde verkoopprijs,,,337367,462800
Molenwaard,Gemiddelde verkoopprijs,,250004,,
Monster,Gemiddelde verkoopprijs,,,,
Montferland,Gemiddelde verkoopprijs,223537,214329,299129,402650
Montfoort,Gemiddelde verkoopprijs,262523,279138,353781,530539
Mook en Middelaar,Gemiddelde verkoopprijs,313607,269317,362062,500990
Moordrecht,Gemiddelde verkoopprijs,,,,
Muiden,Gemiddelde verkoopprijs,379197,,,
Naaldwijk,Gemiddelde verkoopprijs,,,,
Naarden,Gemiddelde verkoopprijs,457369,,,
Neder-Betuwe,Gemiddelde verkoopprijs,247799,250270,333167,507447
Nederhorst den Berg,Gemiddelde verkoopprijs,,,,
Nederlek,Gemiddelde verkoopprijs,207593,,,
Nederweert,Gemiddelde verkoopprijs,210649,245425,322041,441889
Neede,Gemiddelde verkoopprijs,,,,
Neerijnen,Gemiddelde verkoopprijs,257655,264662,,
Niedorp,Gemiddelde verkoopprijs,,,,
Nieuwegein,Gemiddelde verkoopprijs,196565,212302,298058,411577
Nieuwerkerk aan den IJssel,Gemiddelde verkoopprijs,,,,
Nieuw-Ginneken,Gemiddelde verkoopprijs,,,,
Nieuwkoop,Gemiddelde verkoopprijs,234473,262665,370084,530206
Nieuw-Lekkerland,Gemiddelde verkoopprijs,206701,,,
Nieuwleusen,Gemiddelde verkoopprijs,,,,
Nieuw-Vossemeer,Gemiddelde verkoopprijs,,,,
Nijefurd,Gemiddelde verkoopprijs,,,,
Nijeveen,Gemiddelde verkoopprijs,,,,
Nijkerk,Gemiddelde verkoopprijs,255345,274217,389649,531289
Nijmegen,Gemiddelde verkoopprijs,216593,224355,323659,424665
Nissewaard,Gemiddelde verkoopprijs,,189291,266765,370386
Noardeast-Fryslân,Gemiddelde verkoopprijs,,,215494,316349
Noord-Beveland,Gemiddelde verkoopprijs,194132,184198,302133,346144
Noordenveld,Gemiddelde verkoopprijs,222436,220858,304166,463471
Noorder-Koggenland,Gemiddelde verkoopprijs,,,,
Noordoostpolder,Gemiddelde verkoopprijs,179941,196777,252108,343446
Noordwijk,Gemiddelde verkoopprijs,312705,339556,443969,593042
Noordwijkerhout,Gemiddelde verkoopprijs,247781,265119,,
Nootdorp,Gemiddelde verkoopprijs,,,,
Norg,Gemiddelde verkoopprijs,,,,
"Nuenen, Gerwen en Nederwetten",Gemiddelde verkoopprijs,305401,316527,410545,567419
Nunspeet,Gemiddelde verkoopprijs,261307,274498,359883,492417
Nuth,Gemiddelde verkoopprijs,200836,201424,,
Obdam,Gemiddelde verkoopprijs,,,,
Odoorn,Gemiddelde verkoopprijs,,,,
Oegstgeest,Gemiddelde verkoopprijs,294490,319480,497333,614503
Oirschot,Gemiddelde verkoopprijs,276480,288247,394923,501069
Oisterwijk,Gemiddelde verkoopprijs,314192,323114,407840,545220
Oldambt,Gemiddelde verkoopprijs,139971,142918,199615,296230
Oldebroek,Gemiddelde verkoopprijs,254058,243165,319878,456021
Oldenzaal,Gemiddelde verkoopprijs,228743,220721,291320,395790
Olst,Gemiddelde verkoopprijs,,,,
Olst-Wijhe,Gemiddelde verkoopprijs,220586,217719,317881,464723
Ommen,Gemiddelde verkoopprijs,236084,214130,317571,472998
Onderbanken,Gemiddelde verkoopprijs,177922,182802,,
Oost Gelre,Gemiddelde verkoopprijs,189852,205581,268196,380942
"Oost-, West- en Middelbeers",Gemiddelde verkoopprijs,,,,
Oostburg,Gemiddelde verkoopprijs,,,,
Oosterhesselen,Gemiddelde verkoopprijs,,,,
Oosterhout,Gemiddelde verkoopprijs,239092,240008,295149,437746
Oostflakkee,Gemiddelde verkoopprijs,217773,,,
Ooststellingwerf,Gemiddelde verkoopprijs,180648,190128,252997,362830
Oostzaan,Gemiddelde verkoopprijs,271313,306680,478648,549966
Ootmarsum,Gemiddelde verkoopprijs,,,,
Openbaar Lichaam Z.IJ.P.,Gemiddelde verkoopprijs,,,,
Opmeer,Gemiddelde verkoopprijs,226831,234281,330792,423085
Opsterland,Gemiddelde verkoopprijs,211626,208722,284117,433883
Oss,Gemiddelde verkoopprijs,228911,225653,298356,437206
Ossendrecht,Gemiddelde verkoopprijs,,,,
Oud en Nieuw Gastel,Gemiddelde verkoopprijs,,,,
Oud-Beijerland,Gemiddelde verkoopprijs,228393,236459,,
Oude IJsselstreek,Gemiddelde verkoopprijs,216862,196007,281208,391680
Oudenbosch,Gemiddelde verkoopprijs,,,,
Ouder-Amstel,Gemiddelde verkoopprijs,358186,428487,511264,611886
Ouderkerk,Gemiddelde verkoopprijs,233120,,,
Oudewater,Gemiddelde verkoopprijs,287163,285535,417974,521905
Overbetuwe,Gemiddelde verkoopprijs,253405,253671,349961,448063
Papendrecht,Gemiddelde verkoopprijs,198915,216108,283352,382950
Peel en Maas,Gemiddelde verkoopprijs,228152,221919,295228,419759
Peize,Gemiddelde verkoopprijs,,,,
Pekela,Gemiddelde verkoopprijs,140628,127804,164123,250437
Pijnacker,Gemiddelde verkoopprijs,,,,
Pijnacker-Nootdorp,Gemiddelde verkoopprijs,288113,281515,412301,559333
Prinsenbeek,Gemiddelde verkoopprijs,,,,
Purmerend,Gemiddelde verkoopprijs,188277,208237,305916,434261
Putte,Gemiddelde verkoopprijs,,,,
Putten,Gemiddelde verkoopprijs,310928,317280,407186,494295
Raalte,Gemiddelde verkoopprijs,241989,232044,310713,444263
Raamsdonk,Gemiddelde verkoopprijs,,,,
Ravenstein,Gemiddelde verkoopprijs,,,,
Reeuwijk,Gemiddelde verkoopprijs,,,,
Reiderland,Gemiddelde verkoopprijs,,,,
Reimerswaal,Gemiddelde verkoopprijs,177534,198646,241917,358989
Renkum,Gemiddelde verkoopprijs,267664,280012,374240,518803
Renswoude,Gemiddelde verkoopprijs,297340,253922,360584,528505
Reusel,Gemiddelde verkoopprijs,,,,
Reusel-De Mierden,Gemiddelde verkoopprijs,243758,254656,357230,418768
Rheden,Gemiddelde verkoopprijs,241128,237478,315772,420762
Rhenen,Gemiddelde verkoopprijs,266759,283677,395582,531256
Ridderkerk,Gemiddelde verkoopprijs,193679,197228,283059,387672
Riethoven,Gemiddelde verkoopprijs,,,,
Rijnsburg,Gemiddelde verkoopprijs,,,,
Rijnwaarden,Gemiddelde verkoopprijs,160806,188843,,
Rijnwoude,Gemiddelde verkoopprijs,256280,,,
Rijsbergen,Gemiddelde verkoopprijs,,,,
Rijssen,Gemiddelde verkoopprijs,,,,
Rijssen-Holten,Gemiddelde verkoopprijs,230065,234042,317632,447791
Rijswijk (ZH.),Gemiddelde verkoopprijs,198848,198527,303017,421900
Roden,Gemiddelde verkoopprijs,,,,
Roerdalen,Gemiddelde verkoopprijs,197977,191752,252910,363119
Roermond,Gemiddelde verkoopprijs,187001,203499,268453,377867
Roggel en Neer,Gemiddelde verkoopprijs,,,,
Rolde,Gemiddelde verkoopprijs,,,,
De Ronde Venen,Gemiddelde verkoopprijs,300158,340835,503591,600009
Roosendaal,Gemiddelde verkoopprijs,213050,212847,283960,364655
Roosendaal en Nispen,Gemiddelde verkoopprijs,,,,
Rosmalen,Gemiddelde verkoopprijs,,,,
Rossum,Gemiddelde verkoopprijs,,,,
Rotterdam,Gemiddelde verkoopprijs,182945,202501,307358,402854
Rozenburg,Gemiddelde verkoopprijs,,,,
Rozendaal,Gemiddelde verkoopprijs,510917,543634,610553,802862
Rucphen,Gemiddelde verkoopprijs,224249,240829,314850,464324
Ruinen,Gemiddelde verkoopprijs,,,,
Ruinerwold,Gemiddelde verkoopprijs,,,,
Ruurlo,Gemiddelde verkoopprijs,,,,
Sas van Gent,Gemiddelde verkoopprijs,,,,
Sassenheim,Gemiddelde verkoopprijs,,,,
Schagen,Gemiddelde verkoopprijs,201348,233547,308046,411009
Scheemda,Gemiddelde verkoopprijs,,,,
Schermer,Gemiddelde verkoopprijs,233543,,,
Scherpenzeel,Gemiddelde verkoopprijs,261303,249290,339046,469118
Schiedam,Gemiddelde verkoopprijs,150716,157604,233751,337918
Schiermonnikoog,Gemiddelde verkoopprijs,253390,364955,347238,486250
Schijndel,Gemiddelde verkoopprijs,264383,272276,,
Schinnen,Gemiddelde verkoopprijs,198633,197924,,
Schipluiden,Gemiddelde verkoopprijs,,,,
Schoonebeek,Gemiddelde verkoopprijs,,,,
Schoonhoven,Gemiddelde verkoopprijs,200880,,,
Schoorl,Gemiddelde verkoopprijs,,,,
Schouwen-Duiveland,Gemiddelde verkoopprijs,219542,250663,316192,453661
Sevenum,Gemiddelde verkoopprijs,,,,
Simpelveld,Gemiddelde verkoopprijs,166919,181859,221359,348742
Sint Anthonis,Gemiddelde verkoopprijs,276651,259098,323200,
Sint-Michielsgestel,Gemiddelde verkoopprijs,274209,309789,433726,576271
Sint-Oedenrode,Gemiddelde verkoopprijs,246488,295582,,
Sittard,Gemiddelde verkoopprijs,,,,
Sittard-Geleen,Gemiddelde verkoopprijs,167127,175624,227165,314825
Skarsterlân,Gemiddelde verkoopprijs,206293,,,
Sleen,Gemiddelde verkoopprijs,,,,
Sliedrecht,Gemiddelde verkoopprijs,205418,209918,271072,379364
Slochteren,Gemiddelde verkoopprijs,191872,201318,,
Sluis,Gemiddelde verkoopprijs,180648,207560,268436,326961
Sluis-Aardenburg,Gemiddelde verkoopprijs,,,,
Smallingerland,Gemiddelde verkoopprijs,181249,183644,244055,348051
Smilde,Gemiddelde verkoopprijs,,,,
Sneek,Gemiddelde verkoopprijs,,,,
Soest,Gemiddelde verkoopprijs,315025,305207,416785,551182
Someren,Gemiddelde verkoopprijs,242837,252785,341627,479149
Son en Breugel,Gemiddelde verkoopprijs,294296,312240,387355,588765
Spijkenisse,Gemiddelde verkoopprijs,178567,,,
Sprang-Capelle,Gemiddelde verkoopprijs,,,,
St. Anthonis,Gemiddelde verkoopprijs,,,,
Stad Delden,Gemiddelde verkoopprijs,,,,
Stadskanaal,Gemiddelde verkoopprijs,155706,161392,217543,306793
Standdaarbuiten,Gemiddelde verkoopprijs,,,,
Staphorst,Gemiddelde verkoopprijs,223642,239236,303884,413454
Stede Broec,Gemiddelde verkoopprijs,188220,201709,296841,397251
Steenbergen,Gemiddelde verkoopprijs,201017,208556,258586,387648
Steenderen,Gemiddelde verkoopprijs,,,,
Steenwijk,Gemiddelde verkoopprijs,,,,
Steenwijkerland,Gemiddelde verkoopprijs,190951,203799,285838,389884
Stein (L.),Gemiddelde verkoopprijs,168614,191205,254755,330142
Stichtse Vecht,Gemiddelde verkoopprijs,284148,293234,439309,562854
Stramproy,Gemiddelde verkoopprijs,,,,
Strijen,Gemiddelde verkoopprijs,216797,216927,,
Súdwest-Fryslân,Gemiddelde verkoopprijs,180110,199005,264604,354413
Susteren,Gemiddelde verkoopprijs,,,,
Swalmen,Gemiddelde verkoopprijs,,,,
Tegelen,Gemiddelde verkoopprijs,,,,
Terheijden,Gemiddelde verkoopprijs,,,,
Terneuzen,Gemiddelde verkoopprijs,154531,162271,207830,279642
Terschelling,Gemiddelde verkoopprijs,277696,295631,382293,502620
Teteringen,Gemiddelde verkoopprijs,,,,
Texel,Gemiddelde verkoopprijs,240179,254087,359029,472434
Teylingen,Gemiddelde verkoopprijs,293942,292124,406240,541670
Tholen,Gemiddelde verkoopprijs,186582,175067,238255,329359
Thorn,Gemiddelde verkoopprijs,,,,
Tiel,Gemiddelde verkoopprijs,199027,216920,287184,385022
Tilburg,Gemiddelde verkoopprijs,210354,208106,293733,398630
Tubbergen,Gemiddelde verkoopprijs,260798,246299,328689,449691
Twenterand,Gemiddelde verkoopprijs,196497,201440,273030,362592
Tynaarlo,Gemiddelde verkoopprijs,231622,262004,350488,466557
Tytsjerksteradiel,Gemiddelde verkoopprijs,184405,186058,257895,363050
Ubbergen,Gemiddelde verkoopprijs,244974,,,
Uden,Gemiddelde verkoopprijs,253211,241112,327042,
Udenhout,Gemiddelde verkoopprijs,,,,
Uitgeest,Gemiddelde verkoopprijs,234238,279462,377100,512685
Uithoorn,Gemiddelde verkoopprijs,231242,255574,394007,528003
Urk,Gemiddelde verkoopprijs,187777,194649,262460,370874
Utrecht (gemeente),Gemiddelde verkoopprijs,246061,267618,405791,519924
Utrechtse Heuvelrug,Gemiddelde verkoopprijs,339915,368914,500361,654710
Vaals,Gemiddelde verkoopprijs,182002,189124,237242,322260
Valburg,Gemiddelde verkoopprijs,,,,
Valkenburg (ZH.),Gemiddelde verkoopprijs,,,,
Valkenburg aan de Geul,Gemiddelde verkoopprijs,216724,243077,313227,420963
Valkenisse,Gemiddelde verkoopprijs,,,,
Valkenswaard,Gemiddelde verkoopprijs,257876,252314,363915,458998
Veendam,Gemiddelde verkoopprijs,145414,133346,206197,282322
Veenendaal,Gemiddelde verkoopprijs,235783,228195,311679,403296
Veere,Gemiddelde verkoopprijs,256264,261978,381893,434698
Veghel,Gemiddelde verkoopprijs,252103,233498,,
Veldhoven,Gemiddelde verkoopprijs,247147,269584,384498,512413
Velsen,Gemiddelde verkoopprijs,233218,275851,361612,475076
Venhuizen,Gemiddelde verkoopprijs,,,,
Venlo,Gemiddelde verkoopprijs,175299,191062,265942,362468
Venray,Gemiddelde verkoopprijs,215171,214737,280883,388733
"Vessem, Wintelre en Knegsel",Gemiddelde verkoopprijs,,,,
Vianen,Gemiddelde verkoopprijs,263571,255326,,
Vierlingsbeek,Gemiddelde verkoopprijs,,,,
Vijfheerenlanden,Gemiddelde verkoopprijs,,,329591,459244
Vlaardingen,Gemiddelde verkoopprijs,166675,172252,258309,339126
Vlagtwedde,Gemiddelde verkoopprijs,158398,163528,,
Vledder,Gemiddelde verkoopprijs,,,,
Vleuten-De Meern,Gemiddelde verkoopprijs,,,,
Vlieland,Gemiddelde verkoopprijs,250034,322516,402227,550461
Vlijmen,Gemiddelde verkoopprijs,,,,
Vlissingen,Gemiddelde verkoopprijs,162150,184717,207906,290591
Vlist,Gemiddelde verkoopprijs,265606,,,
Voerendaal,Gemiddelde verkoopprijs,206066,233245,295235,384797
Voorburg,Gemiddelde verkoopprijs,,,,
Voorhout,Gemiddelde verkoopprijs,,,,
Voorne aan Zee,Gemiddelde verkoopprijs,,,,459967
Voorschoten,Gemiddelde verkoopprijs,283115,317766,455991,590143
Voorst,Gemiddelde verkoopprijs,253874,272466,380896,531771
Vorden,Gemiddelde verkoopprijs,,,,
Vries,Gemiddelde verkoopprijs,,,,
Vriezenveen,Gemiddelde verkoopprijs,,,,
Vught,Gemiddelde verkoopprijs,365043,373175,482126,597470
Waadhoeke,Gemiddelde verkoopprijs,,,218120,318557
Waalre,Gemiddelde verkoopprijs,315184,321133,438780,651659
Waalwijk,Gemiddelde verkoopprijs,234229,238185,324796,417622
Waddinxveen,Gemiddelde verkoopprijs,214794,223017,295664,472179
Wageningen,Gemiddelde verkoopprijs,242027,237039,349478,449599
Warmond,Gemiddelde verkoopprijs,,,,
Warnsveld,Gemiddelde verkoopprijs,,,,
Waspik,Gemiddelde verkoopprijs,,,,
Wassenaar,Gemiddelde verkoopprijs,565289,543781,759683,849805
Wateringen,Gemiddelde verkoopprijs,,,,
Waterland,Gemiddelde verkoopprijs,304828,339740,448439,580424
Weerselo,Gemiddelde verkoopprijs,,,,
Weert,Gemiddelde verkoopprijs,215041,215075,286721,391906
Weesp,Gemiddelde verkoopprijs,217499,237531,416087,
Wehl,Gemiddelde verkoopprijs,,,,
Werkendam,Gemiddelde verkoopprijs,234819,236811,,
Wervershoof,Gemiddelde verkoopprijs,,,,
West Betuwe,Gemiddelde verkoopprijs,,,358088,507574
West Maas en Waal,Gemiddelde verkoopprijs,233667,242248,323567,474219
Westerbork,Gemiddelde verkoopprijs,,,,
Westerhoven,Gemiddelde verkoopprijs,,,,
Wester-Koggenland,Gemiddelde verkoopprijs,,,,
Westerkwartier,Gemiddelde verkoopprijs,,,274333,380286
Westerschouwen,Gemiddelde verkoopprijs,,,,
Westerveld,Gemiddelde verkoopprijs,242676,234044,312598,482454
Westervoort,Gemiddelde verkoopprijs,189108,193170,278047,365528
Westerwolde,Gemiddelde verkoopprijs,,,236867,336557
Westkapelle,Gemiddelde verkoopprijs,,,,
Westland,Gemiddelde verkoopprijs,236049,248559,355864,504784
Weststellingwerf,Gemiddelde verkoopprijs,183758,202572,264528,398330
Westvoorne,Gemiddelde verkoopprijs,352989,308087,506474,
Wierden,Gemiddelde verkoopprijs,219165,249917,346843,395587
Wieringen,Gemiddelde verkoopprijs,,,,
Wieringermeer,Gemiddelde verkoopprijs,,,,
Wijchen,Gemiddelde verkoopprijs,224927,244189,325708,484545
Wijdemeren,Gemiddelde verkoopprijs,365561,357919,511041,632861
Wijhe,Gemiddelde verkoopprijs,,,,
De Wijk,Gemiddelde verkoopprijs,,,,
Wijk bij Duurstede,Gemiddelde verkoopprijs,262387,271905,375060,504642
Willemstad,Gemiddelde verkoopprijs,,,,
Winschoten,Gemiddelde verkoopprijs,,,,
Winsum,Gemiddelde verkoopprijs,182948,169059,,
Winterswijk,Gemiddelde verkoopprijs,161299,182763,238267,346135
Wisch,Gemiddelde verkoopprijs,,,,
Wittem,Gemiddelde verkoopprijs,,,,
Woensdrecht,Gemiddelde verkoopprijs,210175,238646,296747,382087
Woerden,Gemiddelde verkoopprijs,257116,278518,397922,547132
Wognum,Gemiddelde verkoopprijs,,,,
De Wolden,Gemiddelde verkoopprijs,236593,242611,319927,464082
Wormerland,Gemiddelde verkoopprijs,226532,245854,353389,508475
Woudenberg,Gemiddelde verkoopprijs,245310,269051,382889,531410
Woudrichem,Gemiddelde verkoopprijs,251872,239203,,
Wouw,Gemiddelde verkoopprijs,,,,
Wûnseradiel,Gemiddelde verkoopprijs,,,,
Wymbritseradiel,Gemiddelde verkoopprijs,,,,
Zaanstad,Gemiddelde verkoopprijs,194256,204936,315668,415308
Zaltbommel,Gemiddelde verkoopprijs,250475,248677,338800,444749
Zandvoort,Gemiddelde verkoopprijs,281132,312848,459745,585647
Zederik,Gemiddelde verkoopprijs,275985,260464,,
Zeevang,Gemiddelde verkoopprijs,271220,,,
Zeewolde,Gemiddelde verkoopprijs,234806,229813,315736,439272
Zeist,Gemiddelde verkoopprijs,337849,353254,473200,592096
Zelhem,Gemiddelde verkoopprijs,,,,
Zevenaar,Gemiddelde verkoopprijs,181946,194408,261508,375711
Zevenbergen,Gemiddelde verkoopprijs,,,,
Zevenhuizen-Moerkapelle,Gemiddelde verkoopprijs,,,,
Zierikzee,Gemiddelde verkoopprijs,,,,
Zijpe,Gemiddelde verkoopprijs,219299,,,
Zoetermeer,Gemiddelde verkoopprijs,201371,215437,313313,434502
Zoeterwoude,Gemiddelde verkoopprijs,259619,265942,403878,494247
Zuidhorn,Gemiddelde verkoopprijs,180616,190642,,
Zuidlaren,Gemiddelde verkoopprijs,,,,
Zuidplas,Gemiddelde verkoopprijs,234697,256977,357105,510356
Zuidwolde,Gemiddelde verkoopprijs,,,,
Zundert,Gemiddelde verkoopprijs,255194,266180,324757,450881
Zutphen,Gemiddelde verkoopprijs,204978,201908,265915,391686
Zwartewaterland,Gemiddelde verkoopprijs,196245,202842,271612,376182
Zwartsluis,Gemiddelde verkoopprijs,,,,
Zweeloo,Gemiddelde verkoopprijs,,,,
Zwijndrecht,Gemiddelde verkoopprijs,188417,189250,270144,382265
Zwolle,Gemiddelde verkoopprijs,215084,228479,315874,450763
"Bron: Centraal Bureau voor de Statistiek, Kadaster",,,,,